Label,PreMoveLocation,PostMoveLocation,MoveYear,HousePurchaseYear,EffectivePurchaseYear,ChildcareMode,SchoolMode,FinalLiquidUSD,FinalNetWorthUSD,MinLiquidUSD,MinNetWorthUSD,EverNegativeLiquid
New Orleans area -> Vietnam | move-2031 | buy-2034 | daycare | public,New Orleans area,Vietnam,2031.0,2034.0,2034.0,daycare,public,25838014.537137315,26325155.087289035,545172.0,545172.0,False
Vietnam -> Spain | move-2031 | buy-2034 | daycare | public,Vietnam,Spain,2031.0,2034.0,2034.0,daycare,public,25591017.94104147,26307717.260091756,563434.68,563434.68,False
Vietnam -> Japan | move-2031 | buy-2034 | daycare | public,Vietnam,Japan,2031.0,2034.0,2034.0,daycare,public,25512008.955316663,26299297.52394938,563434.68,563434.68,False
Japan -> Spain | move-2031 | buy-2034 | daycare | public,Japan,Spain,2031.0,2034.0,2034.0,daycare,public,25534375.614412095,26251074.93346238,561204.96,561204.96,False
Japan | no-move | buy-2034 | daycare | public,Japan,Japan,,2034.0,2034.0,daycare,public,25455366.628687304,26242655.19732002,561204.96,561204.96,False
Midwest (Kansas City) -> Japan | move-2031 | rent-forever | daycare | public,Midwest (Kansas City),Japan,2031.0,,,daycare,public,26224481.89707024,26224481.89707024,549984.0,549984.0,False
"Miami area -> China, Jingzhou | move-2031 | rent-forever | daycare | public",Miami area,"China, Jingzhou",2031.0,,,daycare,public,26143717.854393374,26143717.854393374,525126.24,525126.24,False
"China, Jingzhou -> Midwest (Kansas City) | move-2031 | buy-2034 | daycare | public","China, Jingzhou",Midwest (Kansas City),2031.0,2034.0,2034.0,daycare,public,25617922.30202269,26131476.337665558,565646.64,565646.64,False
"China, Jingzhou -> New Orleans area | move-2031 | buy-2034 | daycare | public","China, Jingzhou",New Orleans area,2031.0,2034.0,2034.0,daycare,public,25759671.2901896,26127879.301753335,565646.64,565646.64,False
Spain | no-move | buy-2034 | daycare | public,Spain,Spain,,2034.0,2034.0,daycare,public,25405095.039833523,26121794.35888381,555067.32,555067.32,False
Spain -> Japan | move-2031 | buy-2034 | daycare | public,Spain,Japan,2031.0,2034.0,2034.0,daycare,public,25326086.054108735,26113374.622741453,555067.32,555067.32,False
New Orleans area -> Japan | move-2031 | rent-forever | daycare | public,New Orleans area,Japan,2031.0,,,daycare,public,26102658.322057974,26102658.322057974,545172.0,545172.0,False
Southern France -> Spain | move-2031 | buy-2034 | daycare | public,Southern France,Spain,2031.0,2034.0,2034.0,daycare,public,25381014.110795304,26097713.42984559,554511.36,554511.36,False
"China, Jingzhou -> Spain | move-2031 | rent-forever | daycare | public","China, Jingzhou",Spain,2031.0,,,daycare,public,26094756.054640453,26094756.054640453,565646.64,565646.64,False
"China, Jingzhou -> Southern France | move-2031 | buy-2034 | daycare | public","China, Jingzhou",Southern France,2031.0,2034.0,2034.0,daycare,public,25131240.568634424,26094197.4977915,565646.64,565646.64,False
Southern France -> Japan | move-2031 | buy-2034 | daycare | public,Southern France,Japan,2031.0,2034.0,2034.0,daycare,public,25302005.12507051,26089293.693703227,554511.36,554511.36,False
Vietnam -> Midwest (Kansas City) | move-2031 | buy-2034 | daycare | public,Vietnam,Midwest (Kansas City),2031.0,2034.0,2034.0,daycare,public,25572334.853746366,26085888.88938923,563434.68,563434.68,False
Vietnam -> New Orleans area | move-2031 | buy-2034 | daycare | public,Vietnam,New Orleans area,2031.0,2034.0,2034.0,daycare,public,25714083.841913268,26082291.853477,563434.68,563434.68,False
"China, Jingzhou -> Southern France | move-2031 | rent-forever | daycare | public","China, Jingzhou",Southern France,2031.0,,,daycare,public,26064958.17713996,26064958.17713996,565646.64,565646.64,False
Vietnam -> Spain | move-2031 | rent-forever | daycare | public,Vietnam,Spain,2031.0,,,daycare,public,26049168.606364116,26049168.606364116,563434.68,563434.68,False
Vietnam -> Southern France | move-2031 | buy-2034 | daycare | public,Vietnam,Southern France,2031.0,2034.0,2034.0,daycare,public,25085653.12035809,26048610.049515165,563434.68,563434.68,False
Japan -> Midwest (Kansas City) | move-2031 | buy-2034 | daycare | public,Japan,Midwest (Kansas City),2031.0,2034.0,2034.0,daycare,public,25515692.527117,26029246.562759865,561204.96,561204.96,False
Japan -> New Orleans area | move-2031 | buy-2034 | daycare | public,Japan,New Orleans area,2031.0,2034.0,2034.0,daycare,public,25657441.515283905,26025649.52684764,561204.96,561204.96,False
Vietnam -> Southern France | move-2031 | rent-forever | daycare | public,Vietnam,Southern France,2031.0,,,daycare,public,26019370.728863638,26019370.728863638,563434.68,563434.68,False
Japan -> Spain | move-2031 | rent-forever | daycare | public,Japan,Spain,2031.0,,,daycare,public,25992526.279734753,25992526.279734753,561204.96,561204.96,False
Japan -> Southern France | move-2031 | buy-2034 | daycare | public,Japan,Southern France,2031.0,2034.0,2034.0,daycare,public,25029010.793728728,25991967.722885802,561204.96,561204.96,False
Midwest (Kansas City) -> Spain | move-2031 | buy-2034 | daycare | public,Midwest (Kansas City),Spain,2031.0,2034.0,2034.0,daycare,public,25271115.471279368,25987814.790329654,549984.0,549984.0,False
Midwest (Kansas City) -> Japan | move-2031 | buy-2034 | daycare | public,Midwest (Kansas City),Japan,2031.0,2034.0,2034.0,daycare,public,25192106.48555458,25979395.054187298,549984.0,549984.0,False
Miami area -> Vietnam | move-2031 | rent-forever | daycare | public,Miami area,Vietnam,2031.0,,,daycare,public,25966417.54004299,25966417.54004299,525126.24,525126.24,False
"Miami area -> China, Jingzhou | move-2031 | buy-2034 | daycare | public",Miami area,"China, Jingzhou",2031.0,2034.0,2034.0,daycare,public,25521229.20585139,25964308.95811636,525126.24,525126.24,False
Japan -> Southern France | move-2031 | rent-forever | daycare | public,Japan,Southern France,2031.0,,,daycare,public,25962728.402234267,25962728.402234267,561204.96,561204.96,False
Spain -> Midwest (Kansas City) | move-2031 | buy-2034 | daycare | public,Spain,Midwest (Kansas City),2031.0,2034.0,2034.0,daycare,public,25386411.95253843,25899965.988181297,555067.32,555067.32,False
Spain -> New Orleans area | move-2031 | buy-2034 | daycare | public,Spain,New Orleans area,2031.0,2034.0,2034.0,daycare,public,25528160.940705337,25896368.95226907,555067.32,555067.32,False
Miami area -> Vietnam | move-2031 | buy-2034 | daycare | public,Miami area,Vietnam,2031.0,2034.0,2034.0,daycare,public,25405745.634476524,25892886.184628244,525126.24,525126.24,False
Southern France -> Midwest (Kansas City) | move-2031 | buy-2034 | daycare | public,Southern France,Midwest (Kansas City),2031.0,2034.0,2034.0,daycare,public,25362331.023500193,25875885.05914306,554511.36,554511.36,False
Southern France -> New Orleans area | move-2031 | buy-2034 | daycare | public,Southern France,New Orleans area,2031.0,2034.0,2034.0,daycare,public,25504080.011667106,25872288.02323084,554511.36,554511.36,False
New Orleans area -> Spain | move-2031 | buy-2034 | daycare | public,New Orleans area,Spain,2031.0,2034.0,2034.0,daycare,public,25149291.896267094,25865991.21531738,545172.0,545172.0,False
"Bay Area -> China, Jingzhou | move-2031 | rent-forever | daycare | public",Bay Area,"China, Jingzhou",2031.0,,,daycare,public,25864275.660545018,25864275.660545018,514448.04000000004,514448.04000000004,False
Spain | no-move | rent-forever | daycare | public,Spain,Spain,,,,daycare,public,25863245.705156185,25863245.705156185,555067.32,555067.32,False
Spain -> Southern France | move-2031 | buy-2034 | daycare | public,Spain,Southern France,2031.0,2034.0,2034.0,daycare,public,24899730.21915016,25862687.148307234,555067.32,555067.32,False
New Orleans area -> Japan | move-2031 | buy-2034 | daycare | public,New Orleans area,Japan,2031.0,2034.0,2034.0,daycare,public,25070282.910542294,25857571.479175013,545172.0,545172.0,False
Southern France -> Spain | move-2031 | rent-forever | daycare | public,Southern France,Spain,2031.0,,,daycare,public,25839164.776117954,25839164.776117954,554511.36,554511.36,False
Southern France | no-move | buy-2034 | daycare | public,Southern France,Southern France,,2034.0,2034.0,daycare,public,24875649.290111933,25838606.219269007,554511.36,554511.36,False
Spain -> Southern France | move-2031 | rent-forever | daycare | public,Spain,Southern France,2031.0,,,daycare,public,25833447.827655695,25833447.827655695,555067.32,555067.32,False
Southern France | no-move | rent-forever | daycare | public,Southern France,Southern France,,,,daycare,public,25809366.898617465,25809366.898617465,554511.36,554511.36,False
Midwest (Kansas City) | no-move | buy-2034 | daycare | public,Midwest (Kansas City),Midwest (Kansas City),,2034.0,2034.0,daycare,public,25252432.38398426,25765986.419627126,549984.0,549984.0,False
Midwest (Kansas City) -> New Orleans area | move-2031 | buy-2034 | daycare | public,Midwest (Kansas City),New Orleans area,2031.0,2034.0,2034.0,daycare,public,25394181.372151174,25762389.383714907,549984.0,549984.0,False
Midwest (Kansas City) -> Spain | move-2031 | rent-forever | daycare | public,Midwest (Kansas City),Spain,2031.0,,,daycare,public,25729266.136602014,25729266.136602014,549984.0,549984.0,False
Midwest (Kansas City) -> Southern France | move-2031 | buy-2034 | daycare | public,Midwest (Kansas City),Southern France,2031.0,2034.0,2034.0,daycare,public,24765750.650596,25728707.579753075,549984.0,549984.0,False
Midwest (Kansas City) -> Southern France | move-2031 | rent-forever | daycare | public,Midwest (Kansas City),Southern France,2031.0,,,daycare,public,25699468.259101536,25699468.259101536,549984.0,549984.0,False
Bay Area -> Vietnam | move-2031 | rent-forever | daycare | public,Bay Area,Vietnam,2031.0,,,daycare,public,25686975.346194636,25686975.346194636,514448.04000000004,514448.04000000004,False
"Bay Area -> China, Jingzhou | move-2031 | buy-2034 | daycare | public",Bay Area,"China, Jingzhou",2031.0,2034.0,2034.0,daycare,public,25241787.01200303,25684866.764268,514448.04000000004,514448.04000000004,False
Miami area -> Japan | move-2031 | rent-forever | daycare | public,Miami area,Japan,2031.0,,,daycare,public,25670389.419397186,25670389.419397186,525126.24,525126.24,False
New Orleans area -> Midwest (Kansas City) | move-2031 | buy-2034 | daycare | public,New Orleans area,Midwest (Kansas City),2031.0,2034.0,2034.0,daycare,public,25130608.80897198,25644162.844614845,545172.0,545172.0,False
New Orleans area | no-move | buy-2034 | daycare | public,New Orleans area,New Orleans area,,2034.0,2034.0,daycare,public,25272357.7971389,25640565.808702633,545172.0,545172.0,False
Bay Area -> Vietnam | move-2031 | buy-2034 | daycare | public,Bay Area,Vietnam,2031.0,2034.0,2034.0,daycare,public,25126303.44062817,25613443.99077989,514448.04000000004,514448.04000000004,False
New Orleans area -> Spain | move-2031 | rent-forever | daycare | public,New Orleans area,Spain,2031.0,,,daycare,public,25607442.56158975,25607442.56158975,545172.0,545172.0,False
New Orleans area -> Southern France | move-2031 | buy-2034 | daycare | public,New Orleans area,Southern France,2031.0,2034.0,2034.0,daycare,public,24643927.075583715,25606884.00474079,545172.0,545172.0,False
New Orleans area -> Southern France | move-2031 | rent-forever | daycare | public,New Orleans area,Southern France,2031.0,,,daycare,public,25577644.68408925,25577644.68408925,545172.0,545172.0,False
"China, Jingzhou | no-move | rent-forever | daycare | private","China, Jingzhou","China, Jingzhou",,,,daycare,private,25508153.160388965,25508153.160388965,565646.64,565646.64,False
"Vietnam -> China, Jingzhou | move-2031 | rent-forever | daycare | private",Vietnam,"China, Jingzhou",2031.0,,,daycare,private,25462565.712112628,25462565.712112628,563434.68,563434.68,False
Miami area -> Spain | move-2031 | buy-2034 | daycare | public,Miami area,Spain,2031.0,2034.0,2034.0,daycare,public,24717022.993606307,25433722.312656593,525126.24,525126.24,False
Miami area -> Japan | move-2031 | buy-2034 | daycare | public,Miami area,Japan,2031.0,2034.0,2034.0,daycare,public,24638014.007881507,25425302.576514225,525126.24,525126.24,False
